"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"KT","NMIS","Malan Mannir Fura Girke Islamiyya","40309","Primary","Primary","Public","Religious","School","002fecb7-a821-486c-84bd-2cfa732d1d99","u_fc_poi_school.70",,,"POINT (7.2507302 12.8702085)"
"KN","NMIS","Markazu Waja Islamiyya","KN1808","Primary","Primary","Public","Religious","School","00343ae9-dbd0-4802-8aad-81e015f601fe","u_fc_poi_school.75",,,"POINT (8.494515 12.01396)"
"KN","NMIS","Nurul Quran Mbs Islamiyya School","KN0502","Primary","Standard","Public","Religious","School","004c2cae-4fb3-41b6-9eb8-60db1dfeee8f","u_fc_poi_school.104",,,"POINT (8.234778 12.23027)"
"KN","NMIS","Kajure Islamiyya","KN3915","Primary","Primary","Public","Religious","School","00b0c899-3d96-4b4f-838e-a365482faa3e","u_fc_poi_school.278",,,"POINT (8.373547 12.022)"
"KT","OSGOF","Islamiya School Lomin Yamma","41809","Other","Standard","Faith Based","Religious","School","00b2e8ca-aba6-451e-b0bf-881ebaa3e8e9","u_fc_poi_school.282",,,"POINT (7.67329 13.05852)"
"SO","NMIS","Madarasatu Nurul Huda Islamiyya","62101","Primary","Primary","Public","Religious","School","00c615a9-56ec-43d2-8fbb-da5f2765e3aa","u_fc_poi_school.315",,,"POINT (5.2292079 13.0138207)"
"KN","NMIS","Mundibo Islamiyya","KN2202","Primary","Primary","Public","Religious","School","00f83121-af85-4e10-890e-d64ebeb2c3a2","u_fc_poi_school.394",,,"POINT (8.118794 11.77335)"
"KN","NMIS","Madarasatul Kiraatul Quran Chiranchi","KN1604","Primary","Primary","Public","Religious","School","01070c9c-09d0-42bd-a60e-5d5e39d81b00","u_fc_poi_school.418",,,"POINT (8.997161 11.86544)"
"KN","NMIS","Koran Maje Islamiyya","KN2008","Primary","Primary","Public","Religious","School","0142c80e-96e3-45c3-849e-956bfc68f0f9","u_fc_poi_school.518",,,"POINT (8.187335 11.83338)"
"KN","NMIS","Sautul Kuan Islamiyya","KN3106","Primary","Primary","Public","Religious","School","016fd821-5829-48c5-82d7-7e77c0b9cb88","u_fc_poi_school.586",,,"POINT (8.583195 11.97773)"
"KN","NMIS","Imam Gurdo","KN0305","Other","Other","Private","Religious","School","017b8329-e48a-40dd-b52c-7d99256e52c9","u_fc_poi_school.607",,,"POINT (8.15777 12.14234)"
"KN","NMIS","Mallam Amadu Quranic School Rogo","KN3407","Primary","Primary","Public","Religious","School","0192a7fb-8441-4aba-97f9-911fe4978568","u_fc_poi_school.636",,,"POINT (7.823183 11.54607)"
"KN","NMIS","Rigar Yamma Islamiyya School","KN4312","Primary","Primary","Public","Religious","School","01c81cba-db84-4566-9cd2-47320396f76b","u_fc_poi_school.707",,,"POINT (8.689404 11.97794)"
"KD","OSGOF","Islamiyya School","KD2307","Other","Standard","Faith Based","Religious","School","01f5ae71-09f5-4557-8bdc-bc899838c714","u_fc_poi_school.784",,,"POINT (7.7091809 11.056242)"
"KN","NMIS","Waire Islamiyya School","KN0510","Primary","Primary","Public","Religious","School","021570c1-8365-4cdd-b7bb-0b3e20bfc7cb","u_fc_poi_school.831",,,"POINT (8.22067 12.34763)"
"PL","NMIS","Arabic Foundation Private School","PLSJJN19","Primary","Standard","Private","Religious","School","023466e5-d353-4ece-8149-d04b9704b61e","u_fc_poi_school.874",,,"POINT (8.86926 9.899453)"
"KT","OSGOF","Isamiyya Primary School","43304","Primary","Standard","Faith Based","Religious","School","02686dc3-9c23-4d71-8837-1d0c1cce2df4","u_fc_poi_school.955",,,"POINT (8.4244 12.87178)"
"KN","NMIS","Sani Shehu Maihula Islamiya School","KN0909","Primary","Primary","Public","Religious","School","02761a5c-ea8c-4195-bc2a-52afd2f8a768","u_fc_poi_school.969",,,"POINT (8.546678 11.85349)"
"JI","NMIS","Government Day Junior Arabic Secondary School Jikas","JI1108","Secondary","Junior","Public","Religious","School","02878835-fc99-4a17-8db6-124125b193a5","u_fc_poi_school.998",,,"POINT (9.8657036 11.3768959)"
"KN","NMIS","Government Girls Arabic Secondary School Tanawa","KN2701","Secondary","Standard","Public","Religious","School","0291f509-3705-49b4-8733-d21e2961eda3","u_fc_poi_school.1011",,,"POINT (8.422512 11.77555)"
"KT","OSGOF","Isilamiyya School 1","42307","Other","Standard","Faith Based","Religious","School","02993d15-f057-467f-b887-1b1578a8c6a7","u_fc_poi_school.1020",,,"POINT (7.9488067 12.4264932)"
"KN","NMIS","Zogarawa Islamiyya","KN0915","Primary","Primary","Public","Religious","School","02ab7ea1-6a7d-455e-b231-c0cd4703394e","u_fc_poi_school.1050",,,"POINT (8.679768 11.87983)"
"KT","NMIS","Nurul Huda Islamiya","40907","Primary","Primary","Public","Religious","School","02c94758-f4c0-40a4-9bb6-7821f4e7120c","u_fc_poi_school.1110",,,"POINT (7.2503481 12.1995575)"
"KN","NMIS","Kulafaurrashidin Islamiyya","KN4110","Primary","Primary","Public","Religious","School","02f0301d-bfc4-49ee-baaa-a514cbe15c47","u_fc_poi_school.1186",,,"POINT (8.400259 11.24642)"
"KN","NMIS","Madara Satul Qiraatul Quran","KN1101","Primary","Primary","Public","Religious","School","030bd05e-0cfb-4fc0-8c79-535d0d03877a","u_fc_poi_school.1229",,,"POINT (8.633482 10.70059)"
"KN","NMIS","Nurul Quran Islamiyya Jogana","KN1704","Primary","Standard","Public","Religious","School","032e68dd-0632-4983-a72c-d1f705c3cc69","u_fc_poi_school.1274",,,"POINT (8.696403 12.02148)"
"KT","NMIS","Makarantar Malam Idi Yar Ya","43008","Primary","Primary","Public","Religious","School","03403bd2-e5dc-41c7-9942-61eca1fdc65e","u_fc_poi_school.1298",,,"POINT (7.7100015 12.8512458)"
"KN","NMIS","Sani Mukaddas Islamiyya School","KN3503","Primary","Primary","Public","Religious","School","035173ad-16cc-4f49-8707-4085513b1abf","u_fc_poi_school.1321",,,"POINT (7.931091 12.18284)"
"ZA","OSGOF","Islamiya School Sabon Gari Guri Gidan Makera","81402","Other","Standard","Faith Based","Religious","School","03563823-6f45-492d-8c3f-5608d1d87e5f","u_fc_poi_school.1329",,,"POINT (6.48797 12.81203)"
"KT","NMIS","Makarantar Alaramma Garba","43001","Primary","Primary","Public","Religious","School","0391c7ae-c853-4c5a-933c-4edc9bfd2c2c","u_fc_poi_school.1422",,,"POINT (7.6565707 12.8728345)"
