"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"AN","OSGOF","Open University Uru Abagana","ANSKPP07","Tertiary","University","Public","Formal","School","0059310c-60bb-4c2a-88bc-71d78afd6aae","u_fc_poi_school.126",,,"POINT (6.98225 6.1853)"
"NI","NMIS","Sheikh Dahiru Usman Bauchi Foundation","NISMNA02","Tertiary","Adult Education","Private","Integrated","School","00793172-9e01-4e2f-9920-f367142c16b2","u_fc_poi_school.185",,,"POINT (6.5257126 9.6202898)"
"RI","Proxy Logistics","Rivers College of Education","RVSPHC02","Tertiary","Adult Education","State Government","Formal","School","009bc909-e3b1-44e1-9a4d-f7c8499d3bab","u_fc_poi_school.240",,,"POINT (7.0047968 4.798704)"
"IM","GRID","Trinitas Academy","IMSMGD07","Tertiary","Standard","Private Faith Based","Formal","School","016dad50-6637-4468-b4b3-63efec66b1db","u_fc_poi_school.585",,,"POINT (6.94654 5.6484883)"
"GO","GRID","Kaleel Husary Academy","GMSGME10","Tertiary","Standard","Public","Formal","School","01ac8e45-edf5-4aad-81db-e60cadb1a09b","u_fc_poi_school.679",,,"POINT (11.16975 10.264925)"
"GO","GRID","Matrix International Academy Gombe","GMSGME11","Tertiary","Standard","Public","Formal","School","023575fd-4f8f-4a05-8419-ee3bfc1e7137","u_fc_poi_school.877",,,"POINT (11.1440983 10.3109733)"
"LA","GRID","Grajos Institute Of Mass Communication","LASIOE01","Tertiary","Standard","Private","Formal","School","02653b8e-893c-4b75-8199-24b1a9933add","u_fc_poi_school.950",,,"POINT (3.30212 6.65449)"
"GO","GRID","Government Vocational Training Center","GMSNFD09","Tertiary","Standard","Public","Formal","School","02c180f5-2815-4408-9d07-e2a034259eb2","u_fc_poi_school.1094",,,"POINT (11.338655 11.0943033)"
"EK","GRID","Gladsome International Schools Ido Ekiti","EKSIDO11","Tertiary","Standard","Private","Formal","School","0349a0f2-14b7-4be5-a14a-f3448e188a39","u_fc_poi_school.1312",,,"POINT (5.189925 7.8614117)"
"ZA","NMIS","School For Continuing Education Women","80709","Tertiary","Adult Education","Public","Formal","School","036af5cd-8465-42c1-9095-35344c43f2e3","u_fc_poi_school.1358",,,"POINT (6.6938538 12.1760387)"
"ED","GRID","Auchi Polytechnic Auchi","EDSAUC12","Tertiary","Tertiary","Public","Formal","School","04c1b349-ac6d-437c-a8eb-722985f0ad00","u_fc_poi_school.1939",,,"POINT (6.2773 7.06117)"
"EB","GRID","School Of Nursing Uburu","EBSBZR03","Tertiary","Adult Education","Private","Formal","School","04db4bb8-925c-4065-8d44-3dc3433f4544","u_fc_poi_school.1974",,,"POINT (7.7628 6.0326)"
"EB","GRID","Bishop Thomas Mcgettricks Pastoral Centre","EBSUGB05","Tertiary","Adult Education","Faith Based","Formal","School","050b2a28-f095-4a19-a28c-83b3fc7210fc","u_fc_poi_school.2071",,,"POINT (8.087465 6.3397283)"
"TA","GRID","Dominion Academy Donga","TRSDGA02","Tertiary","Standard","Private","Formal","School","0526aff1-3e31-449f-9567-05985635cc55","u_fc_poi_school.2109",,,"POINT (10.0587917 7.7234267)"
"CR","GRID","Cross River University Of Technology Crutech","CRSANA08","Tertiary","University","Public","Formal","School","0538fad0-bfac-4a50-a1fc-acafd3ac72db","u_fc_poi_school.2139",,,"POINT (8.330335 4.9314217)"
"OG","eHA Polio","Social Development Institute","OGSIKE05","Tertiary","Adult Education","Public","Formal","School","059bfe11-0383-48f1-98a9-70cc6a2bcb40","u_fc_poi_school.2288",,,"POINT (3.6758067 6.91143)"
"EK","GRID","Holy Vessel International Group Of Schools","EKSIEN07","Tertiary","Standard","Private","Formal","School","0628e5ee-94d0-4639-8f22-b6e2751f92df","u_fc_poi_school.2519","8","15","POINT (5.356385 7.4887833)"
"ED","OSGOF","University Of Benin Gate","EDSUSL10","Tertiary","University","Public","Formal","School","06640f60-d361-433c-8592-620789a73b4c","u_fc_poi_school.2628",,,"POINT (5.60903 6.39977)"
"IM","GRID","Imo State University Imsu","IMSABB17","Tertiary","University","Public","Formal","School","067b49e3-28a1-41ea-a218-525036355ba0","u_fc_poi_school.2661",,,"POINT (7.2669283 5.3514967)"
"EB","GRID","Lenans Adult Education","EBSUGB10","Tertiary","Adult Education","Public","Formal","School","073136d6-e671-485c-bc99-3585d3409bdb","u_fc_poi_school.2950",,,"POINT (8.0974833 6.34046)"
"EK","GRID","Precious And Prestige Wisdom Convenant Academy","EKSADO13","Tertiary","Standard","Private","Formal","School","0731b7e7-f522-4abe-834d-d97616593bb3","u_fc_poi_school.2952",,,"POINT (5.2201733 7.5779867)"
"GO","OSGOF","Jibins Maltau Sunnah Jauro Abare","GMSGME11","Tertiary","Adult Education","Public","Formal","School","07da9ac9-454a-437e-9597-9e4adb0f752f","u_fc_poi_school.3183",,,"POINT (11.16942 10.30396)"
"OG","OSGOF","Crawford University","OGSADO12","Tertiary","University","Public","Formal","School","082dd6fc-9991-45dc-a1fc-3db7c546cdb0","u_fc_poi_school.3318",,,"POINT (3.07565 6.59655)"
"FC","NMIS","Literacy By Radio","FCTBWR01","Tertiary","Adult Education","Public","Formal","School","084a3971-b4cd-49cb-84b3-41edf494673f","u_fc_poi_school.3364",,,"POINT (7.417348 9.294425)"
"AB","GRID","Triumphant Leadership Institute Of Journalism","ABSHAF12","Tertiary","Standard","Faith Based","Formal","School","085f7be0-71e7-4d6c-af4d-1e0de27b5fa9","u_fc_poi_school.3402",,,"POINT (7.7602467 5.7707617)"
"DE","OSGOF","Federal University Of Petroleum Resources Effurun","DTSEFR01","Tertiary","University","Public","Formal","School","08886aef-dfdd-418c-9cc9-20942ea2a653","u_fc_poi_school.3460",,,"POINT (5.79591 5.57447)"
"GO","GRID","Aljambawi Academy Gombe","GMSGME11","Tertiary","Standard","Public","Formal","School","08b95d84-f131-4d3b-8902-097dae9aa45a","u_fc_poi_school.3520",,,"POINT (11.1775183 10.2985317)"
"NA","OSGOF","Bingham University","NASKRV01","Tertiary","University","Public","Formal","School","08c916b7-9e8d-442b-abbd-cce3a2af5f86","u_fc_poi_school.3546",,,"POINT (7.69017 8.95492)"
"IM","NMIS","Mbutu Vocational Institute of Commerce","IMSABB04","Tertiary","Adult Education","Private","Formal","School","09a24766-e198-4bac-a080-011d88a68dff","u_fc_poi_school.3899",,,"POINT (7.240472 5.419716)"
"AD","OSGOF","Nigerian Law School Yola","ADSYLA06","Tertiary","Adult Education","Public","Formal","School","0ac34330-ccd0-4df4-87a8-ee8ea8b859f0","u_fc_poi_school.4367",,,"POINT (12.50348 9.19926)"
"GO","GRID","Nurulhuda International Academy Gombe","GMSGME07","Tertiary","Standard","Public","Formal","School","0b474009-a142-4763-aa63-7b99b5d58637","u_fc_poi_school.4575",,,"POINT (11.1456233 10.28293)"
"GO","GRID","Iqra Integrated School Gombe","GMSAKK02","Tertiary","Standard","Private","Formal","School","0b7eae66-9136-494d-96c8-a36592d87b4b","u_fc_poi_school.4659",,,"POINT (11.18332 10.2569967)"
"SO","NMIS","Darul Hadith","61709","Tertiary","Adult Education","Public","Integrated","School","0bab46e5-0c4a-43f0-8165-ae492c2c93d2","u_fc_poi_school.4728",,,"POINT (5.236117 13.0481905)"
"ED","GRID","Mudiame University","EDSRRU07","Tertiary","University","Private","Formal","School","0c2b04b9-b49d-45eb-a45a-7ae22ac067c6","u_fc_poi_school.4931",,,"POINT (6.21321 6.72862)"
"EN","GRID","Institute Of Management And Technology","ENSENU10","Tertiary","Adult Education","Public","Formal","School","0c56cb47-59af-4687-b284-a5e5818b63af","u_fc_poi_school.5005",,,"POINT (7.5118117 6.4358033)"
"DE","NMIS","Matmo Technical Vocational College","DTSSLK08","Tertiary","Standard","Private","Formal","School","0c57fdfa-0290-4170-8008-75a8f217414a","u_fc_poi_school.5010",,,"POINT (6.56449 6.383765)"
"EK","GRID","Excellent International Academy School Ikoleekiti","EKSIKE11","Tertiary","Standard","Private","Formal","School","0c86414c-c69c-429c-9791-918c58654765","u_fc_poi_school.5073","12",,"POINT (5.5321268 7.8027903)"
"SO","NMIS","Madarasatul TaAyidil Islam Badon Barade","62102","Tertiary","Adult Education","Private","Integrated","School","0cc461b6-94e7-4247-9475-5314e2600c21","u_fc_poi_school.5181",,,"POINT (5.1984644 12.994042)"
"NI","OSGOF","College Of Art And Islamic Studies Ibb University Staff Quarters","NISLAP01","Tertiary","Adult Education","Public","Formal","School","0d2424bd-7f13-4a4f-b956-6da4a8ae6331","u_fc_poi_school.5328",,,"POINT (6.58295 9.06303)"
"NA","NMIS","Vocational and Relevant Technical Nasarawa Centre","NASNSW08","Tertiary","Adult Education","Public","Formal","School","0d4a3fdc-680a-45ae-8696-06fece8f1f32","u_fc_poi_school.5390",,,"POINT (7.719735 8.540972)"
"TA","GRID","Federal University Wukari","TRSWKR05","Tertiary","University","Public","Formal","School","0da973e6-4c74-41a8-a4de-2c08f076ff71","u_fc_poi_school.5529",,,"POINT (9.7765988 7.8439402)"
"EK","GRID","Dominant International School","EKSADO13","Tertiary","Standard","Private","Formal","School","0ddb8f73-8db3-48e1-b570-0af8f2fc4160","u_fc_poi_school.5628",,,"POINT (5.2092967 7.5950033)"
"SO","NMIS","Muzuru Islamia School","62307","Tertiary","Adult Education","Private","Religious","School","0e75e688-f749-48d7-b465-1f12fc4424ce","u_fc_poi_school.5881",,,"POINT (5.0786048 12.7485888)"
"TA","GRID","Imam Abubakar Center For Arabic And Islamic Studies","TRSLAU07","Tertiary","Standard","Private","Formal","School","0e826562-d670-4d4a-9c3e-75e095967617","u_fc_poi_school.5915",,,"POINT (11.4038885 9.2400487)"
"CR","GRID","Odagiabo Polytechnic Okuku","CRSCKK03","Tertiary","Standard","Private","Formal","School","0eeaf149-89f8-4130-a52c-81b749c3a6fe","u_fc_poi_school.6060",,,"POINT (8.7825333 6.7274483)"
"EK","GRID","Prince And Princess Group Of Schools","EKSIKR09","Tertiary","Standard","Private","Formal","School","0f27b288-0b92-4bdc-8cda-6a9aa7008725","u_fc_poi_school.6161",,,"POINT (5.2275167 7.4631167)"
"AB","GRID","Diamond College Of Education","ABSSSM04","Tertiary","Standard","Private","Formal","School","0f368483-4a53-4fe1-8461-98491ddbf5ff","u_fc_poi_school.6191","10","20","POINT (7.3577983 5.149805)"
"KO","NMIS","Home Economics Centre Egga Adde","KGSJMU06","Tertiary","Adult Education","Public","Formal","School","0f56d31d-3214-4c34-b6ea-b7f928e3bacc","u_fc_poi_school.6237",,,"POINT (5.87377 7.833374)"
"FC","NMIS","Government Science College Izom","FCTGWA04","Tertiary","Adult Education","Public","Formal","School","103adf05-f2ce-454c-8590-4fd91566858c","u_fc_poi_school.6578",,,"POINT (7.013968 9.240715)"
"EK","GRID","Shammah Group Of Schools","EKSADO02","Tertiary","Standard","Private","Formal","School","1063c304-b987-4886-b04b-bb101d2c89c3","u_fc_poi_school.6650",,,"POINT (5.2100667 7.6498733)"
"TA","GRID","Kakulu Theological Seminary Zing","TRSTZG07","Tertiary","Standard","Private","Formal","School","106abe95-076c-4741-9f19-cfeb3acbc8e4","u_fc_poi_school.6661","10","80","POINT (11.71435 8.9773733)"
"GO","GRID","Kaltungo Community Management School Of Technology","GMSKLT05","Tertiary","Standard","NGO Funded","Formal","School","10d06816-b771-4ced-a773-3141dd9da71d","u_fc_poi_school.6787",,,"POINT (11.341205 9.8214367)"
"TA","GRID","Missionary Bible College Mbamnga","TRSSDA07","Tertiary","Standard","Faith Based","Formal","School","10d48042-447e-4797-abe6-50e67e9849ef","u_fc_poi_school.6793",,,"POINT (11.200916 6.6178026)"
"GO","GRID","Standard Integrated School Gombe","GMSGME10","Tertiary","Standard","Private","Formal","School","10e7c117-2955-4993-85f0-88a68bce8932","u_fc_poi_school.6827",,,"POINT (11.1803517 10.2717533)"
"SO","NMIS","Kwanggel Quranic School","61503","Tertiary","Adult Education","Private","Religious","School","10fae337-5ec5-4ee5-9239-b2d6b0280af1","u_fc_poi_school.6853",,,"POINT (4.839283 12.9421138)"
"ZA","NMIS","Tarbitul Islamiya Kanwuri Faru","80903","Tertiary","Adult Education","Private","Religious","School","1186539a-b079-4a0b-94de-5a36b4830c6d","u_fc_poi_school.7073",,,"POINT (6.2854564 12.7532065)"
"TA","GRID","Best Academy","TRSGAS10","Tertiary","Standard","Private","Formal","School","123742c8-0855-40db-b052-31c4a452ed55","u_fc_poi_school.7365",,,"POINT (10.242275 8.489605)"
"CR","GRID","Federal School Of Psychiatric And Mental Health Nursing","CRSANA04","Tertiary","Standard","Public","Formal","School","128e14ad-f9ba-4dd6-a0ce-996b9a911b85","u_fc_poi_school.7504","20","89","POINT (8.3360131 4.9538333)"
"NI","NMIS","Madarasatu Islamiya Etsuzagi","NISKUG08","Tertiary","Adult Education","Private","Religious","School","1298c1f0-7448-4533-a41c-5a46d352c0b2","u_fc_poi_school.7524",,,"POINT (6.0016251 8.8735038)"
"SO","NMIS","Qur'anic Collage","62307","Tertiary","Adult Education","Private","Integrated","School","12a50be2-f9a8-40ad-a2f0-3fead1e8e33d","u_fc_poi_school.7542",,,"POINT (5.0572581 12.7322423)"
